rand-100-69;10171323;9789021;1553;18422121
rand-100-70;10116815;12070861;1757;21229233
rand-100-71;9407783;4308876;1251;15231803
rand-100-72;10495293;5867366;1494;18232207
rand-100-73;9997832;7113049;1580;18249358
rand-100-74;10852564;6489194;1552;18579899
rand-100-75;11827856;12013826;1715;20861494
rand-100-76;10730158;7437071;1420;13638783
rand-100-77;8065600;5331000;1308;13143806
rand-100-78;7665452;4015643;1236;12672150
rand-100-79;7722653;5102821;1181;12463350
rand-100-80;7405052;3798322;1097;11563354
rand-100-81;8482773;5154063;1225;12669378
rand-100-82;7613006;2492936;1100;11277630
rand-100-83;7220666;4222715;1153;11888707
rand-100-84;7507768;6413505;1315;14115449
rand-100-85;8058840;6036536;1172;12912165
rand-100-86;8392061;7348961;1213;12803372
rand-100-87;7478521;6142367;1246;13556700
rand-100-88;7803566;3839222;1278;12550181
rand-100-89;7480111;4457264;1230;12183105
rand-100-90;8074657;6086497;1224;12347963
rand-100-91;7685819;6907404;1268;12976906
rand-100-92;7527452;7785701;1382;14584888
rand-100-93;8129792;6524831;1322;13880417
rand-100-94;7753187;6376425;1228;12667790
rand-100-95;8805599;6359473;1259;12909011
rand-100-96;8085693;6784792;1429;14355573
rand-100-97;7780181;7662918;1313;13708772
rand-100-98;7448405;6329389;1325;13896240
rand-100-99;7951341;5024934;1318;15299213
rand-100-100;10763865;8760549;1638;18412874
rand-102-1;12823673;7538400;1722;19537174
rand-102-2;11390171;5975268;1383;17506813
rand-102-3;10912890;10729451;1730;20922018
rand-102-4;11615534;9479941;1679;20344818
rand-102-5;11818587;13709748;2088;23072613
rand-102-6;11290904;5031510;1698;18481213
rand-102-7;11265327;7070310;1714;19069460
rand-102-8;10640415;10297069;1700;19186812
rand-102-9;11932544;8843557;1556;17730322
rand-102-10;11347928;9024452;1718;20266826
rand-102-11;10863149;4817532;1474;17204689
rand-102-12;11187581;11776747;1861;22640202
rand-102-13;10887333;12123429;1974;23600640
rand-102-14;11155593;10002566;1804;22349539
rand-102-15;10873116;6057692;1803;20925285
rand-102-16;10784664;4822264;1421;16871000
rand-102-17;11377171;6349851;1615;18474456
rand-102-18;12960115;8201812;1690;20060722
rand-102-19;11587183;8893037;1660;20653219
rand-102-20;11008351;6659645;1796;20707936
rand-102-21;10650072;11002934;1937;22257123
rand-102-22;12226829;7498458;1724;19468426
rand-102-23;10841114;8378148;1519;18409282
rand-102-24;11169086;8655289;1730;20296967
rand-102-25;11087591;11283789;1776;21251746
rand-102-26;10919757;9993365;1804;20928010
rand-102-27;11893256;8065667;1619;18796874
rand-102-28;10295978;8413318;1853;21457893
rand-102-29;11555257;7754111;1651;20070757
rand-102-30;11263863;6340975;1488;17518950
rand-102-31;11456614;7903507;1718;20576133
