rand-24-18;116669;120075;270;848905
rand-24-19;117550;106637;265;829685
rand-24-20;118659;102857;291;838169
rand-24-21;119368;112841;286;969380
rand-24-22;139952;109457;341;796585
rand-24-23;118475;70214;239;684065
rand-24-24;119270;114854;304;921039
rand-26-1;175653;180695;512;1159518
rand-26-2;140141;130899;297;955670
rand-26-3;138400;123163;392;862526
rand-26-4;161835;119915;257;786921
rand-26-5;138980;65902;221;715925
rand-26-6;118092;169469;345;1049867
rand-26-7;152446;159025;467;1112142
rand-26-8;142340;73540;249;712840
rand-26-9;134021;142813;322;995164
rand-26-10;155071;185388;425;1087104
rand-26-11;140931;153291;322;1075845
rand-26-12;131696;59988;270;713441
rand-26-13;139232;194930;357;1134344
rand-26-14;141108;82304;291;722414
rand-26-15;157043;79615;242;714254
rand-26-16;144345;100585;273;829159
rand-26-17;133164;160202;323;984465
rand-26-18;140136;133989;327;958026
rand-26-19;164371;95961;271;887271
rand-26-20;156453;131271;294;899351
rand-26-21;145730;92183;239;779608
rand-26-22;148444;118515;287;885912
rand-26-23;147136;87797;332;776015
rand-26-24;161491;141106;330;1056941
rand-26-25;179851;98618;309;860159
rand-26-26;158664;133156;402;875561
rand-28-1;175807;197176;431;1522379
rand-28-2;191828;172475;444;1198385
rand-28-3;177094;187293;440;1150608
rand-28-4;156997;131290;266;836778
rand-28-5;172021;79509;249;835465
rand-28-6;218929;221151;405;1192712
rand-28-7;172774;106405;268;866502
rand-28-8;172809;86796;252;863711
rand-28-9;164629;177437;444;1132425
rand-28-10;201335;235933;365;1400022
rand-28-11;168508;207388;361;1175476
rand-28-12;171550;75442;256;815118
rand-28-13;114500;160731;388;1271140
rand-28-14;176128;109793;272;876718
rand-28-15;187149;100383;260;803221
rand-28-16;175545;121178;372;971016
rand-28-17;177040;215699;370;1127501
rand-28-18;157326;105462;268;874876
rand-28-19;171987;128721;379;1008632
rand-28-20;189551;168636;332;1055590
rand-28-21;180948;115141;266;927254
rand-28-22;178288;184338;404;1089550
rand-28-23;186623;137376;277;888781
rand-28-24;172655;118637;306;971674
rand-28-25;177814;105425;254;1218579
rand-28-26;278369;333671;565;2033214
rand-28-27;239414;323239;2395;1905208
rand-28-28;252133;240253;441;1691669
rand-30-1;273726;341493;629;2305565
rand-30-2;273967;331206;464;1953989
rand-30-3;326659;394280;551;1969971
rand-30-4;300685;263991;401;1545874
rand-30-5;295136;151152;378;1441454
rand-30-6;341514;343639;547;1999298
rand-30-7;310911;209574;391;1438721
rand-30-8;311625;179907;404;1388405
rand-30-9;282410;283136;414;1564002
rand-30-10;223371;326096;498;1625052
rand-30-11;219834;252866;398;1414475
rand-30-12;290369;282388;479;2051492
rand-30-13;204778;254978;570;2017338
rand-30-14;334817;446212;536;2258157
rand-30-15;323399;436169;588;2086801
rand-30-16;299646;224443;451;1434390
rand-30-17;278848;204374;343;1194079
rand-30-18;231044;176174;340;1141706
rand-30-19;225785;183316;405;1459250
rand-30-20;257016;259737;480;1252058
rand-30-21;243431;94852;329;1022684
rand-30-22;236272;307788;390;1390248
rand-30-23;226819;211743;336;1124482
rand-30-24;230513;195761;387;1214012
rand-30-25;237619;261710;434;1538407
rand-30-26;218222;386252;459;1970824
rand-30-27;253907;273484;422;1626145
rand-30-28;244594;302814;367;1441115
rand-30-29;237622;158546;431;1314594
rand-30-30;268221;185470;390;1396038
rand-32-1;274539;433672;758;2223382
rand-32-2;286291;373705;576;1677001
rand-32-3;276218;342524;431;1779105
rand-32-4;274215;276136;342;1252693
rand-32-5;291104;176368;412;1611113
rand-32-6;403436;489792;682;2651884
